Company,Final_Return,Final_Return_Pct,Annualized_Return,BaH_Final_Return,BaH_Return_Pct,BaH_Annualized_Return,Strategy_Outperformance,Annual_Outperformance,Annual_Transactions,Success_Rate,Avg_Profit_per_Trade,Avg_Trade_Length,Max_Profit_per_Trade,Max_Loss_per_Trade,Maximum_Capital,Minimum_Capital,Idle_Ratio
AAPL,26799.34,167.99,15.37,106204.59,962.05,40.87,-794.05,-25.5,4.1,67.86,2.47,44,5.48,-5.46,26799.34,8164.37,51.35
AXP,12613.84,26.14,3.42,14447.79,44.48,5.48,-18.34,-2.06,6.8,68.09,-0.32,25,5.51,-14.26,14312.9,3139.62,52.58
BA,15030.33,50.3,6.09,22407.45,124.07,12.41,-73.77,-6.32,5.8,72.5,0.58,25,6.85,-16.56,16312.74,7579.63,59.97
CAT,5835.37,-41.65,-7.51,20101.12,101.01,10.66,-142.66,-18.17,8.3,61.4,-1.51,18,14.87,-29.1,11429.49,3318.75,58.58
CSCO,9917.52,-0.82,-0.12,12732.75,27.33,3.57,-28.15,-3.69,2.2,66.67,-1.05,78,3.85,-4.08,12368.88,6216.86,53.69
CVX,26025.13,160.25,14.88,23574.42,135.74,13.24,24.51,1.64,6.7,73.91,1.7,22,5.73,-6.17,27937.28,9236.55,59.21
DD,11311.06,13.11,1.8,22267.96,122.68,12.31,-109.57,-10.51,6.8,68.09,-0.29,20,6.22,-8.63,14189.11,5891.04,63.3
DIS,9460.37,-5.4,-0.8,35759.1,257.59,20.3,-262.99,-21.1,6.2,69.77,-0.5,24,8.86,-19.63,11437.91,5185.67,58.9
GE,9921.01,-0.79,-0.11,11866.49,18.66,2.51,-19.45,-2.63,6.7,60.87,-0.81,24,3.65,-4.73,10642.43,3401.86,56.24
GS,7431.21,-25.69,-4.21,13443.32,34.43,4.38,-60.12,-8.6,6.5,62.22,-1.84,27,45.3,-47.97,10906.72,2434.95,52.07
HD,22211.49,122.11,12.27,42559.96,325.6,23.37,-203.48,-11.1,1.6,27.27,0.38,162,22.55,-2.15,22211.49,4081.37,29.11
IBM,25470.27,154.7,14.52,21181.32,111.81,11.5,42.89,3.02,6.1,78.57,1.99,24,6.79,-11.09,25755.7,8753.99,60.09
INTC,15389.94,53.9,6.45,24336.84,143.37,13.77,-89.47,-7.31,4.2,72.41,0.94,34,1.61,-2.98,18536.25,7161.62,60.6
JNJ,17987.82,79.88,8.89,23599.73,136.0,13.26,-56.12,-4.37,5.9,78.05,1.3,26,2.82,-4.63,17987.82,8053.23,57.74
JPM,15872.35,58.72,6.93,22838.25,128.38,12.72,-69.66,-5.79,6.2,67.44,-0.1,24,5.91,-6.48,19083.56,6533.85,58.5
KO,26926.27,169.26,15.45,22988.27,129.88,12.83,39.38,2.62,6.4,84.09,2.11,26,0.88,-1.28,27237.2,9255.33,53.81
MCD,34444.94,244.45,19.64,37929.57,279.3,21.33,-34.85,-1.68,7.0,79.17,2.5,27,2.34,-1.46,35930.21,9922.77,48.57
MMM,17212.69,72.13,8.19,29604.42,196.04,17.05,-123.92,-8.85,6.1,73.81,1.1,16,4.67,-5.15,18698.99,9336.89,72.68
MRK,20186.2,101.86,10.72,19709.0,97.09,10.34,4.77,0.38,5.9,73.17,1.27,25,3.03,-3.32,20186.2,6472.49,59.33
MSFT,14399.88,44.0,5.43,26463.24,164.63,15.16,-120.63,-9.73,6.1,71.43,0.63,21,1.96,-2.93,14399.88,7240.23,65.01
NKE,15606.29,56.06,6.67,47844.57,378.45,25.48,-322.38,-18.82,2.2,66.67,2.85,16,3.65,-0.88,15772.65,10000.0,90.19
PFE,5779.61,-42.2,-7.64,18793.98,87.94,9.58,-130.14,-17.22,0.6,25.0,-15.04,100,0.1,-4.27,10032.26,5779.61,84.11
PG,15455.14,54.55,6.52,17530.18,75.3,8.48,-20.75,-1.96,5.4,67.57,1.07,31,3.17,-4.66,15531.59,8177.32,54.81
TRV,29672.8,196.73,17.08,29420.48,194.2,16.94,2.52,0.14,5.5,71.05,2.46,29,2.9,-3.66,30213.36,9913.98,55.64
UNH,21279.39,112.79,11.57,33917.41,239.17,19.38,-126.38,-7.8,2.8,47.37,0.77,112,19.58,-3.81,21279.39,2781.68,15.21
UTX,4967.81,-50.32,-9.65,22010.09,120.1,12.12,-170.42,-21.77,0.6,0.0,-19.09,306,0.0,-29.17,8220.8,4967.81,51.43
VZ,8266.54,-17.33,-2.72,24741.32,147.41,14.04,-164.75,-16.76,0.1,0.0,-20.94,444,0.0,-4.47,8266.54,8266.54,82.37
WMT,21077.64,110.78,11.42,18419.68,84.2,9.26,26.58,2.16,5.8,77.5,1.75,27,2.77,-5.16,24034.77,10000.0,56.71
XOM,20786.67,107.87,11.19,15751.6,57.52,6.81,50.35,4.38,5.7,69.23,1.7,28,5.93,-7.23,22688.21,9810.45,56.91
