Company,Final_Return,Final_Return_Pct,Annualized_Return,BaH_Final_Return,BaH_Return_Pct,BaH_Annualized_Return,Strategy_Outperformance,Annual_Outperformance,Annual_Transactions,Success_Rate,Avg_Profit_per_Trade,Avg_Trade_Length,Max_Profit_per_Trade,Max_Loss_per_Trade,Maximum_Capital,Minimum_Capital,Idle_Ratio
AAPL,22137.6,121.38,12.21,106204.59,962.05,40.87,-840.67,-28.65,5.9,75.61,1.13,25,4.67,-9.02,26959.6,6403.2,58.54
AXP,12636.59,26.37,3.45,14447.79,44.48,5.48,-18.11,-2.03,6.8,68.09,-0.32,25,5.5,-14.24,14338.68,3139.62,52.62
BA,20396.12,103.96,10.89,22407.45,124.07,12.41,-20.11,-1.52,6.4,72.73,1.19,24,5.86,-12.21,20396.12,7532.77,58.38
CAT,6343.95,-36.56,-6.39,20101.12,101.01,10.66,-137.57,-17.04,7.5,59.62,-1.56,21,15.9,-25.06,10995.31,3343.62,56.24
CSCO,7953.99,-20.46,-3.27,12732.75,27.33,3.57,-47.79,-6.83,2.2,60.0,-2.52,76,4.38,-4.14,11740.74,5228.16,54.49
CVX,27184.86,171.85,15.61,23574.42,135.74,13.24,36.1,2.36,6.7,76.09,1.85,22,5.48,-5.91,29181.47,9034.12,59.41
DD,7300.84,-26.99,-4.46,22267.96,122.68,12.31,-149.67,-16.77,6.2,60.47,-1.26,20,9.63,-13.37,12628.5,5550.31,65.93
DIS,9813.23,-1.87,-0.27,35759.1,257.59,20.3,-259.46,-20.57,5.1,65.71,-0.51,26,10.24,-17.35,12343.37,5587.02,63.98
GE,9259.3,-7.41,-1.11,11866.49,18.66,2.51,-26.07,-3.62,6.7,60.87,-0.95,24,3.91,-5.07,10642.43,3401.86,56.2
GS,17938.23,79.38,8.84,13443.32,34.43,4.38,44.95,4.46,6.8,63.83,-0.01,28,19.43,-19.87,19462.26,3281.48,46.9
HD,20671.63,106.72,11.11,42559.96,325.6,23.37,-218.88,-12.27,4.6,78.12,1.78,22,4.81,-2.57,21047.22,9004.21,71.84
IBM,24743.52,147.44,14.04,21181.32,111.81,11.5,35.62,2.54,6.1,78.57,1.93,24,6.98,-11.41,25020.86,8822.02,59.77
INTC,23597.96,135.98,13.26,24336.84,143.37,13.77,-7.39,-0.51,5.1,77.14,1.93,25,1.03,-1.95,26095.17,7998.57,65.01
JNJ,17565.99,75.66,8.51,23599.73,136.0,13.26,-60.34,-4.75,6.7,80.43,1.1,25,2.49,-5.22,17565.99,7845.13,54.25
JPM,17898.6,78.99,8.81,22838.25,128.38,12.72,-49.4,-3.91,6.4,65.91,0.42,23,4.49,-5.74,22082.49,6547.16,59.05
KO,25210.86,152.11,14.35,22988.27,129.88,12.83,22.23,1.52,6.5,86.67,1.93,23,0.9,-1.36,25502.11,9238.47,59.05
MCD,36589.11,265.89,20.7,37929.57,279.3,21.33,-13.4,-0.63,7.1,79.59,2.57,27,1.88,-1.38,38166.58,9922.77,46.66
MMM,20400.53,104.01,10.89,29604.42,196.04,17.05,-92.04,-6.15,5.5,73.68,1.59,26,4.74,-7.01,21233.47,9462.79,60.56
MRK,20186.2,101.86,10.72,19709.0,97.09,10.34,4.77,0.38,5.9,73.17,1.27,25,3.03,-3.32,20186.2,6472.49,59.33
MSFT,21987.14,119.87,12.1,26463.24,164.63,15.16,-44.76,-3.05,6.2,74.42,1.55,28,2.37,-1.92,21987.14,7273.15,52.78
NKE,14730.21,47.3,5.78,47844.57,378.45,25.48,-331.14,-19.71,2.2,73.33,2.5,25,3.26,-0.93,14763.54,10000.0,85.11
PFE,5779.61,-42.2,-7.64,18793.98,87.94,9.58,-130.14,-17.22,0.6,25.0,-15.04,100,0.1,-4.27,10032.26,5779.61,84.11
PG,16291.13,62.91,7.33,17530.18,75.3,8.48,-12.39,-1.15,5.2,69.44,1.23,31,3.11,-4.42,16291.13,8264.27,55.92
TRV,26710.18,167.1,15.31,29420.48,194.2,16.94,-27.1,-1.63,5.5,73.68,2.2,28,3.65,-3.93,26710.18,9913.98,57.43
UNH,16411.72,64.12,7.45,33917.41,239.17,19.38,-175.06,-11.93,8.8,72.13,0.32,16,5.84,-4.94,16411.72,3646.44,61.32
UTX,13431.69,34.32,4.37,22010.09,120.1,12.12,-85.78,-7.75,6.1,71.43,0.43,23,5.33,-12.73,16325.37,8530.39,61.91
VZ,22089.22,120.89,12.18,24741.32,147.41,14.04,-26.52,-1.86,4.1,75.0,2.47,61,2.8,-1.97,23650.89,8190.44,32.37
WMT,19320.61,93.21,10.02,18419.68,84.2,9.26,9.01,0.76,5.8,75.0,1.54,27,2.28,-5.63,22901.57,10000.0,56.67
XOM,22099.07,120.99,12.19,15751.6,57.52,6.81,63.47,5.38,5.7,69.23,1.85,30,5.58,-6.8,24243.17,9810.45,54.25
